is covid slowing down,1
have covid cases peaked,1
have covid cases gone down,1
which covid test is best,4
which covid test is most accurate,4
are covid test accurate,4
can covid be transmitted through food,5
can the virus that causes covid be spread through food,5
can i get covid through food,5
is covid currently mutating,7
did covid mutate,7
will covid mutate,7
does covid survive in freezer,8
can covid survive in heat,8
does covid survive freezing,8
did covid come from a bat,11
did covid start with a bat,11
where covid started,11
was covid a bio weapon,12
did the covid develop in a laboratory,12
how was covid created,12
will an antibody test show whether im immune and can go back to work,15
why cant they take antibodies from people who have recovered from covid to create a vaccine,15
do covid antibodies mean immunity,15
what covid symptoms,17
what are the symptoms of covid 2019,17
does covid have any neurological symptoms,17
how did the covid virus appear,18
what is the source of the virus,18
where covid really come from,18
has covid been in humans for years,19
did covid exist years before scientists discovered it,19
what covs were known to infect humans before december 2019,19
when covid checks from government,20
have covid checks been issued,20
have covid checks been mailed,20
how covid kills,21
will covid kill me,21
why covid kills,21
how covid spreads,22
how does covid spread,22
how is covid transmitted,22
how covid will change the world,23
how is the new covid disease going to affect the world,23
how is covid changing the world for better and for worse,23
what covid do,25
what covid does to the body,25
what covid does to your body,25
how covid is tested,26
how covid test is done,26
how is covid diagnosed,26
can the virus that causes covid be transmitted through the air,27
who covid airborne,27
is covid in the air,27
is covid a pandemic,28
what will be the breaking point that will declare covid a pandemic,28
will the covid be as bad as the 1918 spanish flu pandemic that infected 500000000 people,29
is covid worse than spanish flu,29
is covid worse than flu,29
do covid patients on ventilators recover,32
should covid patients be intubated,32
should covid patients be on ventilators,32
when was the first case of covid confirmed in the usa,36
when covid start,36
when covid started,36
why covid name,39
what does covid mean,39
why covid called novel,39
when covid over,42
when will the covid virus end,42
when covid ends,42
when covid vaccine,43
are there any vaccines or other medical products to prevent covid,43
has the covid vaccine been found,43
why is the covid fatality rate so high in the us compared to china,51
how is the us reaction to the spread of the covid different from chinas,51
why are americans the most affected nation in the world by covid,51
is there a connection between covid and environment temperatures,53
is covid seasonal,53
does covid die in sunlight,53
how come covid is going to come back after it goes away for a time,55
if president trump opens the economy will we see a second wave of covid,55
will covid return next year,55
what approximately is the actual mortality rate for covid,56
what is the number of victims worldwide due to covid,56
what is covid fatality rate,56
are there any tests that i can purchase to test myself at home for covid,57
how can i get tested for covid,57
are covid tests available,57
is there any cure for covid,60
do covid have a cure,60
can covid be cured,60
does covid go away,61
do covid symptoms come on suddenly,61
do covid symptoms come and go,61
is covid deadly,65
are you afraid of the covid virus,65
how scared are you about covid,65
should covid be capitalized,66
what is the proper capitalization for covid,66
can you get covid from touching money,75
can covid live on clothes,75
can covid live on paper,75
should i wear a mask to protect myself,79
should i purchase personal protective equipment for me and my family,79
should i use a mask,79
should i make my own hand sanitizer if i cant find it in the stores,80
can i use vodka as hand sanitizer,80
if i cant find hand sanitizer in the store can i make my own,80
how do you wash vegetables and fruits these days of the covid epidemic,81
is grocery shopping safe during the covid pandemic,81
because of the covid pandemic do you wash your groceries,81
can animals carry the virus that causes covid on their skin or fur,84
are pets from a shelter safe to adopt,84
can i get covid from my pet or other animals,84
how can someone spread covid when asymptomatic,87
are covid carriers contagious,87
can covid be caught from a person who has no symptoms,87
is covid especially harmful for pregnant women,92
who is covid killing,92
am i at risk for serious complications from covid if i smoke cigarettes,92
how should you treat the covid at home,94
what treatments are available for covid,94
are there any fda approved drug products or medicines to treat covid,94
how can i prevent covid,97
what advice should we follow against covid,97
whats the best way to prevent covid,97
after recovering from covid does a person have long term immunity to the virus,100
if i have recovered from covid will i be immune to it,100
have the people who were sickened with covid developed immunity,100
will ingesting or injecting disinfectants protect me against covid or kill covid if i already have it,103
is there any justification or rationalization for trump saying to inject disinfectant into your body to treat covid,103
what do you think of trumps idea to inject disinfectant into your body as a cure for covid,103
will convalescent plasma therapy be the answer to covid,112
can plasma from covid survivors treat others,112
why is convalescent plasma being investigated to treat covid,112
what is trumps motivation for promoting hydroxychloroquine as a covid treatment,116
in vitro comparison of antiviral activity of chloroquine(cq) and hydroxychloroquine(hcq) against covid,116
who do you believe about using hydroxychloroquine to treat covid,116
is the u.s. food supply safe,126
will there be animal food shortages,126
is the u.s. animal food supply safe,126
are some blood types able to fight this covid better than other blood types,140
has the link between blood group and the severity of covid effects been confirmed,140
are certain blood types more resistant to acquiring the covid when exposed than others,140
why is the vaccine for covid taking so long,141
if the h1n1 vaccine was developed so quickly why does the covid vaccine take so much time,141
why is a cure taking so long,141
is it possible to spread the covid after recovering from it,150
how long is someone infectious after recovery from covid symptoms,150
how long is someone contagious after getting covid,150
what should i do if i had close contact with someone who has covid,162
what would you do if you found out you had covid,162
what do i do if i think im sick,162
how do i stay positive with covid,183
how are you coping during the covid crisis,183
how do we cope with stress during covid,183
should i use soap and water or a hand sanitizer to protect against covid,188
does alcohol kill covid,188
will i likely catch the covid virus in america regardless of washing hands,188
is it imperative to be tested for covid,192
when to get tested for covid,192
who should get tested for covid,192
which animal gave covid,216
does covid kill animals,216
what animals can get covid,216
are kn 95 masks effective for covid,296
which covid mask works,296
what type of face mask is recommended to prevent catching covid,296
where and when was covid first identified,310
where was covid first identified,310
when was sars cov first identified,310
how much similarity the covid genome sequence has with sars cov,348
whats the difference between covid and sars cov 2,348
which covid is sars,348
does covid cause permament lung damage,378
does covid cause irreversible damage to the respiratory system,378
does covid cause permanent lung damage,378
why is it being advised to not take ibuprofen if one has covid,381
should covid patients avoid taking ibuprofen,381
should covid patients avoid ibuprofen,381
which covid symptoms come first,383
which covid symptom is first,383
which covid symptoms appear first,383
why covid is dangerous,386
why is covid so fearful,386
why of all the history of the plagues is covid more complex and deadlier,386
will covid kill us all,387
could covid wipe out the human race,387
will we get through covid,387
how different is the covid from a common flu,405
why covid is different than the flu,405
why covid is not the flu,405
how does covid vary from covid18 or covid17,424
was there a covid 18,424
was there a covid 18 before covid,424
is chinas very high recovery rate from covid really accurate,428
is china lying about covid,428
are they being honest about covid,428
how will the covid pandemic benefit society in the long run,430
is there some good news regarding covid,430
what are the positive impacts of the covid crisis,430
what are some industries that will be completely changed or destroyed by covid,431
which sectors would create jobs following the covid pandemic,431
will most airlines go bankrupt after the covid pandemic,431
how has covid affected your job or career so far,432
how has covid impacted you so far,432
how has covid affected your everyday life,432
how destructive has covid been for the world economy,434
will covid cause a global economic collapse that is worse than the great recession of 2008,434
how could the covid outbreak trigger a major economic recession in the us,434
excepting president donald trump as an answer what person or organization is most responsible for the rapid spread of the covid virus pandemic,436
who is in charge for the covid outbreak,436
who is more responsible for covid who or china,436
how do you think china has recovered from covid so quickly while the rest of the world is struggling,437
how has china gotten covid under control,437
how can china lower the spreading of covid,437
why are people still going outside with their kids when its not safe (covid),447
why are so many people not taking the covid threat seriously,447
are covid hoax hypotheses a form of denial based coping,447
which stocks should i buy during the covid outbreak,451
what investment strategies will be promising after the covid outbreak ends,451
with the stock market down due to the covid is it a good time to buy or sell your stocks,451
did covid cost trump his second term,454
are americans going to blame trump for the covid situation,454
how much of a factor will the covid be in the 2020 presidential election,454
how is the it industry coping with the covid situation,458
what would be the impact of covid on the it industry globally,458
how have the large tech companies been affected by covid,458
what are suggestions for things to do in the covid quarantine,462
what is your routine for the covid holidays,462
how are you using the sudden surplus of time you have due to the covid social distancing and closures,462
how do you think is the new normal going to look like in after covid days to come,469
how will covid affect our generation,469
what are 5 things that will never be the same because of covid,469
what do trump supporters think of his handling of covid,474
are you confident with the way donald trump is handling the covid epidemic,474
has president trump failed america throughout the covid outbreak,474
can a young and healthy person die from a covid infection,486
are kids getting affected by covid,486
are children immuned to the new covid,486
how will covid affect the financial market,501
what is it that is making the stock market even better amid the covid pandemic,501
why and how is covid affecting the stock market,501
will the chinese government be held accountable in any way for the covid virus epidemic,505
how can the world hold china financially liable for the covid global pandemic,505
what sort of penalty should china pay for causing covid,505
what if the covid vaccine is never discovered,506
what happens if lockdown cant prevent from covid for a whole year especially that there is no vaccine and cure,506
how will life be changed if in the next generations there is still no vaccine for covid,506
is the covid curve flattening,514
how effective is the measure of social distancing in the fight against covid,514
are we flattening the curve  of covid successfully,514
is it true that the president has suggested that people inject with disinfectant to cure covid,519
why has trump stated that injecting disinfectant will kill covid in a minute,519
did donald trump really suggest injecting disinfectant to fight covid,519
how many deaths do you expect from the covid when the pandemic is finally over,535
will covid ultimately kill 1000000 in the us,535
what is the realistic health impact of covid,535
